rxn_smiles,dE0,dH0
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2])([H:8])([H:9])[H:10].[C:3]1([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1,122.93887626702863,95.43018179730889
[C:1]([C:2])([H:8])([H:9])[H:10].[C:3]1([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],27.508694469719742,-95.43018179730889
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[C-:6]=[O+:7]1)([H:8])([H:9])[H:10],76.3539404163179,30.198968239230016
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[C-:6]=[O+:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],46.154972177087885,-30.198968239230016
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([C:4](=[N+:5]=[C-:6][H:15])[H:14])([H:11])[H:12])[O:7][H:13])([H:8])([H:9])[H:10],90.58851185450007,52.5015939716297
[C:1]([C:2]([C:3]([C:4](=[N+:5]=[C-:6][H:15])[H:14])([H:11])[H:12])[O:7][H:13])([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],38.08691788287037,-52.5015939716297
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C@:2]1([H:11])[C:3]([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],49.2290695658636,5.990838259591484
[C:1]([C@:2]1([H:11])[C:3]([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],43.23823130627211,-5.990838259591484
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:13])[C:3]([H:11])([H:12])[C:4]([H:14])=[N:5][C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],44.93046578253347,-7.2665777452541125
[C:1]([C@@:2]1([H:13])[C:3]([H:11])([H:12])[C:4]([H:14])=[N:5][C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],52.19704352778758,7.2665777452541125
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([c:2]1[n+:5]([C:4]([C:3]([H:11])[H:12])([H:13])[H:14])[c-:6]([H:15])[o:7]1)([H:8])([H:9])[H:10],90.70016061393288,72.58251101430653
[C:1]([c:2]1[n+:5]([C:4]([C:3]([H:11])[H:12])([H:13])[H:14])[c-:6]([H:15])[o:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],18.117649599626347,-72.58251101430653
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1=[C:3]([H:12])[C:4]([H:13])([H:14])[N:5][C:6]([H:11])([H:15])[O:7]1)([H:8])([H:9])[H:10],55.279508412752975,12.978272456251695
[C:1]([C:2]1=[C:3]([H:12])[C:4]([H:13])([H:14])[N:5][C:6]([H:11])([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],42.30123595650128,-12.978272456251695
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:3]([C-:2]=[O+:7][C:6]([N:5]=[C:4]([H:13])[H:14])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10],104.82309965937372,73.5762901674298
[C:1]([C:3]([C-:2]=[O+:7][C:6]([N:5]=[C:4]([H:13])[H:14])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],31.24680949194392,-73.5762901674298
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([C:4]([N:5]=[C:6][H:15])([H:13])[H:14])([H:11])[H:12])=[O:7])([H:8])([H:9])[H:10],14.355778950451064,13.748251706927192
[C:1]([C:2]([C:3]([C:4]([N:5]=[C:6][H:15])([H:13])[H:14])([H:11])[H:12])=[O:7])([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],0.6075272435238723,-13.748251706927192
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C@:2]12[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]1[C:6]([H:15])[O:7]2)([H:8])([H:9])[H:10],59.12880297724214,39.768455793269894
[C:1]([C@:2]12[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]1[C:6]([H:15])[O:7]2)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],19.360347183972245,-39.768455793269894
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([C:4]([H:13])[H:14])([H:11])[H:12])=[O:7])([H:8])([H:9])[H:10].[N:5]#[C:6][H:15],28.654773426172905,19.64658924991632
[C:1]([C:2]([C:3]([C:4]([H:13])[H:14])([H:11])[H:12])=[O:7])([H:8])([H:9])[H:10].[N:5]#[C:6][H:15]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],9.008184176256584,-19.64658924991632
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[C:4]([N:5]=[C:6]([O:7])[H:15])([H:13])[H:14])([H:8])([H:9])[H:10],64.33903650712335,14.584172405843212
[C:1]([C:2](=[C:3]([H:11])[H:12])[C:4]([N:5]=[C:6]([O:7])[H:15])([H:13])[H:14])([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],49.75486410128014,-14.584172405843212
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([C@:2]12[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5][C@@:6]1([H:15])[O:7]2)([H:8])([H:9])[H:10],24.54384451294538,15.426584179041653
[C:1]([C@:2]12[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5][C@@:6]1([H:15])[O:7]2)([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],9.117260333903728,-15.426584179041653
[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10]>>[C:1]([O:7]/[C:6](=[N:5]\[C:4]([C:3]([C:2])([H:11])[H:12])([H:13])[H:14])[H:15])([H:8])([H:9])[H:10],117.7564961850208,95.3229700133478
[C:1]([O:7]/[C:6](=[N:5]\[C:4]([C:3]([C:2])([H:11])[H:12])([H:13])[H:14])[H:15])([H:8])([H:9])[H:10]>>[C:1]([C:2]1[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]=[C:6]([H:15])[O:7]1)([H:8])([H:9])[H:10],22.433526171672995,-95.3229700133478
